pollster,sd
20/20 Insight,1.1
ARG,-1.4
Beydoun Foster,-2.3
EPIC-MRA,-1.3
Foster McCollum White Beydoun,-4
Gallup,-2
Gravis,-1.75
Gravis Marketing,-1.75
Insider Advantage,-1.8
Kimball,-1.75
M4 Strategies,1.5
M4 Strategies Tulchin Research,1
Magellan,-1.75
Mason Dixon,-1.3
Merriman River Group,-3.3
Mitchell,-1.6
Mitchell Research,
Mitchell Research/MIRS,
Nielson Bro.,1.5
NMB Research,-1.75
Opinion Research Associates (Give Arkansas a Raise Now),
Pharos Research Group,1
PPIC,-2.6
Purple Strategies,-1.1
R.L. Repass & Partners,1
R.L. Repass & Partners/Charleston Daily Mail,
Rasmussen,-1.5
Suffolk,1.75
Susquehanna,-2.6
Wenzel Strategies,-2.3
InsiderAdvantage,
Opinion Research Associates (D-Arkansas Democratic Party),
Suffolk/USA Today,
