who,xibar,lo,up,prob,date2,state,democrat,republican,lead,numdays,numpolls,undecided,who2,date14,xibar2,up2,lo2,prob2
NA,0,NA,NA,100,,AL,NA,Sessions,Republican lead,NA,0,0,NA,NA,0,NA,NA,100
NA,0,NA,NA,99,,DE,Coons,Smink,Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,HI,Schatz,Unknown (primary 8/9),Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,ID,Mitchell,Risch,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,MA,Markey,Unknown (primary 9/9),Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,90,,MT,Unknown,Daines,Republican lead,NA,0,0,NA,NA,0,NA,NA,90
NA,0,NA,NA,99,,NE,Domina,Sasse,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,NJ,Booker,Bell,Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,NM,Udall,Weh,Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,OK1,Silverstein,Inhoffe,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,OK2,Unknown (runoff 8/26),Lankford,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,RI,Reed,Unknown (primary 9/9),Democrat lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,SC2,Dickerson,Scott,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,TN,Unknown (primary 8/7),Alexander,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
NA,0,NA,NA,99,,WY,Unknown (primary 8/19),Enzi,Republican lead,NA,0,0,NA,NA,0,NA,NA,99
